Parameter Name,Group,Material,Lab min Value,Client min Value,Parameter Test Method,Pseudo Parameter,Discipline,Mu Value,Lab max Value,Client max Value,Unit,NABL,Material Table,Inputs,Material/Lab Name,Remark 
Dimension,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,AAC Block,80.00,0.00,IS 2185 (Part-3):1984,TRUE,MECHANICAL,0.00,750.00,0.00,mm,NABL,"lerm.parameter.master.table,3139",,AAC BLOCK,"In the AAC final report, Conformity is showing as Fail, and one extra column is also appearing."
Moisture Content (Avg.),BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,AAC Block,0.10,0.00,IS 6441 (Part1) 1972,FALSE,MECHANICAL,0.03,50.00,0.00,%,NABL,"lerm.parameter.master.table,3141",,AAC BLOCK,
Block Density,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,AAC Block,300.00,0.00,IS 6441 (Part1) 1972,FALSE,MECHANICAL,0.14,"1,200.00",0.00,kg/m3,NABL,"lerm.parameter.master.table,3143",,AAC BLOCK,
Drying Shrinkage,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,AAC Block,0.00,0.00,IS 6441 (Part1) 1972,FALSE,MECHANICAL,0.00,0.20,0.00,%,NABL,"lerm.parameter.master.table,3144",,AAC BLOCK,
Compressive Strength,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,AAC Block,0.50,0.00,IS 6441 (Part 5) 1972,FALSE,MECHANICAL,0.01,10.00,0.00,N/mm2,NABL,"lerm.parameter.master.table,3145",,AAC BLOCK,
Length (Avg.),BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,AAC Block,500.00,0.00,IS 2185 (Part-3):1984,FALSE,MECHANICAL,0.21,750.00,0.00,mm,NABL,"lerm.parameter.master.table,3152",,AAC BLOCK,
Width (Avg.),BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,AAC Block,80.00,0.00,IS 2185 (Part-3):1984,FALSE,MECHANICAL,0.00,350.00,0.00,mm,NABL,"lerm.parameter.master.table,3154",,AAC BLOCK,
Height (Avg.),BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,AAC Block,80.00,0.00,IS 2185 (Part-3):1984,FALSE,MECHANICAL,0.00,"1,000.00",0.00,mm,NABL,"lerm.parameter.master.table,3156",,AAC BLOCK,
WATER ABSORPTION,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,AAC Block,0.00,0.00,,FALSE,MECHANICAL,0.00,0.00,0.00,,Non NABL,,,AAC BLOCK,
Ash Content,BUILDING MATERIALS - CHEMICAL,Admixture (Chemical Properties),0.10,0.00,--,FALSE,CHEMICAL,0.00,50.00,0.00,% by mass,NABL,"lerm.parameter.master.table,528",Weight of crucible and lid ( W1),ADMIXTURE CHEMICAL,
Dry Material Content,BUILDING MATERIALS - CHEMICAL,Admixture (Chemical Properties),1.00,0.00,--,FALSE,CHEMICAL,0.01,70.00,0.00,% by mass,NABL,"lerm.parameter.master.table,1227",A) Weight of bottle + sand ( W1) gm,ADMIXTURE CHEMICAL,
pH,BUILDING MATERIALS - CHEMICAL,Admixture (Chemical Properties),1.00,0.00,IS 9103 - 1999,FALSE,CHEMICAL,0.00,14.00,0.00,--,NABL,"lerm.parameter.master.table,529",PH,ADMIXTURE CHEMICAL,
Relative Density,BUILDING MATERIALS - CHEMICAL,Admixture (Chemical Properties),0.90,0.00,--,FALSE,CHEMICAL,0.00,1.50,0.00,% by mass,NABL,"lerm.parameter.master.table,530",RD,ADMIXTURE CHEMICAL,
Compressive Strength,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,,10.00,0.00,IS 4031(Part-6)1988,FALSE,MECHANICAL,0.11,80.00,0.00,,NABL,,,,
Chloride Content,BUILDING MATERIALS - CHEMICAL,Admixture (Chemical Properties),0.00,0.00,--,FALSE,CHEMICAL,0.01,1.00,0.00,% by mass,NABL,"lerm.parameter.master.table,531","Mass of the Admixture in  , ( gm)",ADMIXTURE CHEMICAL,
